ti,   y,   u
62411.000000,   34.896240,   49.785461
62511.000000,   35.110474,   49.782410
62612.000000,   34.514465,   49.785461
62727.000000,   34.591370,   49.785461
62811.000000,   35.063782,   49.785461
62912.000000,   34.576263,   49.785461
63012.000000,   34.866028,   49.785461
63112.000000,   34.514465,   49.782410
63212.000000,   34.973145,   49.790039
63335.000000,   35.797119,   49.790039
63412.000000,   35.003357,   49.790039
63511.000000,   34.789124,   49.782410
63611.000000,   35.797119,   49.785461
63712.000000,   34.529572,   49.777832
63814.000000,   35.170898,   49.770203
63912.000000,   34.606476,   49.782410
64012.000000,   34.988251,   49.785461
64113.000000,   34.926453,   49.782410
64211.000000,   34.881134,   49.790039
64312.000000,   35.048676,   49.785461
64417.000000,   35.140686,   49.782410
64536.000000,   34.973145,   49.777832
64612.000000,   35.522461,   49.770203
64712.000000,   35.048676,   49.782410
64812.000000,   34.988251,   49.790039
64926.000000,   35.537567,   49.790039
65037.000000,   34.636688,   49.782410
65112.000000,   35.033569,   49.782410
65211.000000,   35.857544,   49.790039
65312.000000,   35.505981,   49.790039
65411.000000,   35.674896,   49.774780
65526.000000,   35.917969,   49.790039
65612.000000,   35.765533,   49.790039
65732.000000,   35.567780,   49.777832
65811.000000,   35.659790,   49.785461
65912.000000,   34.866028,   49.785461
66012.000000,   35.475769,   49.777832
66122.000000,   36.040192,   49.777832
66237.000000,   35.063782,   49.782410
66312.000000,   36.071777,   49.785461
66412.000000,   35.720215,   49.785461
66512.000000,   35.979767,   49.785461
66631.000000,   35.552673,   49.777832
66712.000000,   35.735321,   49.770203
66840.000000,   35.934448,   49.785461
66912.000000,   35.628204,   49.785461
67011.000000,   35.842438,   49.774780
67111.000000,   36.269531,   49.777832
67212.000000,   35.522461,   49.785461
67312.000000,   35.201111,   49.777832
67411.000000,   36.025085,   49.785461
67512.000000,   35.994873,   49.770203
67611.000000,   36.329956,   49.785461
67716.000000,   35.887756,   49.777832
67836.000000,   36.086884,   49.767151
67912.000000,   35.628204,   49.782410
68012.000000,   35.720215,   49.785461
68112.000000,   35.705109,   49.777832
